16.9.2019 1003.07€
12.4.2019 1206.58€
30.11.2019 1387.90€
10.11.2019 1402.27€
16.12.2019 947.96€
22.11.2019 1548.04€
2.3.2019 1156.33€
24.1.2019 1023.13€
24.9.2019 1184.21€
29.9.2019 986.38€
20.9.2019 530.85€
4.1.2019 700.98€
5.4.2019 1307.28€
21.10.2019 1197.82€
2.10.2019 1348.47€
5.11.2019 1573.07€
5.12.2019 970.06€
14.2.2019 799.12€
22.3.2019 466.42€
7.10.2019 1459.13€
1.8.2019 1331.88€
27.4.2019 806.04€
21.2.2019 1175.60€
28.3.2019 731.48€
4.8.2019 702.19€
24.5.2019 1428.89€
6.4.2019 651.70€
26.7.2019 1728.11€
11.11.2019 729.77€
3.2.2019 1148.22€
24.2.2019 516.86€
1.10.2019 695.71€
13.11.2019 700.61€
9.7.2019 637.35€
13.3.2019 888.58€
1.12.2019 942.01€
21.6.2019 643.21€
24.10.2019 1184.08€
17.11.2019 589.07€
28.6.2019 410.89€
14.10.2019 1492.49€
24.8.2019 1386.78€
1.6.2019 551.97€
28.11.2019 1095.48€
8.9.2019 1309.03€
5.10.2019 1522.74€
29.6.2019 453.26€
7.5.2019 488.00€
26.1.2019 635.43€
26.2.2019 1349.10€
24.6.2019 1680.90€
3.4.2019 335.17€
20.2.2019 1310.08€
30.9.2019 839.78€
20.11.2019 1228.63€
22.7.2019 444.94€
11.1.2019 1680.08€
25.6.2019 680.66€
14.8.2019 681.37€
13.9.2019 325.98€
21.5.2019 1574.18€
24.3.2019 834.01€
13.7.2019 558.20€
3.6.2019 468.44€
3.9.2019 1413.34€
20.4.2019 1601.98€
28.2.2019 1249.48€
18.3.2019 393.90€
18.9.2019 1600.16€
25.7.2019 1701.57€
15.1.2019 391.17€
19.4.2019 1627.00€
6.11.2019 447.94€
17.7.2019 1052.64€
31.10.2019 539.25€
27.6.2019 849.27€
13.6.2019 572.90€
13.5.2019 369.04€
16.3.2019 901.32€
23.6.2019 1634.52€
27.7.2019 1006.74€
13.2.2019 953.16€
18.11.2019 1248.55€
14.3.2019 1604.32€
18.10.2019 1275.41€
3.8.2019 1374.87€
12.10.2019 1447.56€
12.5.2019 1247.05€
6.7.2019 937.44€
31.8.2019 1456.83€
13.4.2019 1118.46€
28.7.2019 1539.69€
28.5.2019 927.06€
23.7.2019 1168.77€
9.10.2019 511.77€
15.2.2019 981.83€
15.3.2019 1185.10€
5.6.2019 495.33€
17.2.2019 405.59€
13.8.2019 760.82€
12.8.2019 1454.13€
8.10.2019 580.46€
19.1.2019 1667.03€
15.5.2019 1536.83€
17.3.2019 539.29€
12.2.2019 791.74€
25.4.2019 1205.80€
6.6.2019 419.04€
2.9.2019 1592.22€
30.4.2019 1356.64€
20.8.2019 1123.14€
16.5.2019 870.69€
19.6.2019 903.57€
9.3.2019 1754.16€
16.10.2019 486.16€
11.8.2019 665.35€
27.3.2019 562.55€
12.11.2019 1439.17€
9.4.2019 1305.46€
1.5.2019 864.01€
25.2.2019 489.14€
7.7.2019 1782.11€
11.7.2019 649.78€
2.11.2019 1255.67€
9.12.2019 1460.26€
4.9.2019 1198.92€
22.10.2019 1450.82€
20.7.2019 879.53€
15.9.2019 1250.55€
7.4.2019 1031.08€
20.3.2019 1566.67€
6.12.2019 1339.87€
